"delegator_address","amount_uluna","amount_lunc"
"terra14yc8md7kdnryhzrczpqm23nwu6lt9mdya4yr9l","100000000000","100000"
"terra1c7mmf7z0kt092jepwsty4wpwayn4uuj9thee2u","100000000000","100000"
"terra1qhes5v75h7pe3gvtshpmu2lv4kfnl4lj6tnq9c","85010403750","85010.40375"
"terra1kn5a6yd9xnprygklgmpn753phaksne2qxmqcm3","82400000000","82400"
"terra1xpvga0pml030jedwjepxpz63chcswcf9n5vptp","75000000000","75000"
"terra15cslpt0lhe02zh9624xwvzepm7qwpcn2gx8enf","71250000000","71250"
"terra1mn7p32cukydmmvp3t3n2u6rjyc38s3d52458m5","62500000000","62500"
"terra1exprmurfnwg0fqea7cgsn0tzg6zlprhx7mz44d","59982000000","59982"
"terra176aray05ds5tg5w258gp338uc9vew4k3635g83","50308646033","50308.646033"
"terra1gq3pnj7dkg80v4nr69nv8vvggllpuwm27yudt3","50000000000","50000"
"terra18x5z8dfkz6kuwr3m0e80mffjdsqdx2nj480stm","50000000000","50000"
"terra1txwdch89cktscd897903es5cjkwsjy38cs04xj","49995000000","49995"
"terra1xzx4p8a6j9ws7yg9ux74s3k36rfvux25r9aar0","49295070000","49295.07"
"terra1j6myhtreerd9fp736amvx50y063f7dnqpp0fqp","46000000000","46000"
"terra1vg3x5ew0vlcejmnjxwhwrtp7lx0avl7wqe6nuc","39551934740","39551.93474"
"terra10hfcmucz9rvwkrm7yzpm5spx49p4zzxt9guasc","38065331429","38065.331429"
"terra18hzxu9nkpzyfgamfyljy4fr9a9d989mxa4q07w","37500000000","37500"
"terra16may99kp496rv088eft83ctu0t0wy53yzdn76q","32298062896","32298.062896"
"terra1lcmsww4qlrwv45dmuw5azg8psgsh6aeeyllqkn","30500259851","30500.259851"
"terra18928djwzlm9wdmaa2ant484mvcwerutdk5elkh","30000000000","30000"
"terra1kl5xzugdfnfrcwlw6rvgqryzdm4engmepwkzkj","26798070000","26798.07"
"terra1plgtv08spu6q2l7yzm76xn0ncdkt2fetpdwz4m","26000000000","26000"
"terra12jvdsc47km98jzrkrkphjmx5jc77waskvn6f0y","24800713648","24800.713648"
"terra132ycfuu4js48y0fvlp3ly5mmmsvdpch92sf8xq","23546309112","23546.309112"
"terra1vct9m7as89xjnjtqy30pwn3trvq0tcf4pqkal4","21393525015","21393.525015"
"terra12xz0k8f9p9davaj0h0vtspp3ae6q4q0cuyxst6","19317211796","19317.211796"
"terra1jsw534x28av3cdte0c9vhm9urejaf9yrt6jt59","18970495903","18970.495903"
"terra1tm4f8sy0kz4km05rdlnlazscrpj87tkpxxeg2u","17000614925","17000.614925"
"terra1ytsdxgfgcsmxuk88kqea4zjldvye0y9av667e3","15000000000","15000"
"terra1ny3h5u2mlyltp77v3hhcd5cgx4svex8ac9xwz3","15000000000","15000"
"terra1sgz2qs5p2t87ue2hzqz2jcfdsc6g6fxrckpujl","13250000000","13250"
"terra1ajtf6qyfzdwlvvsqr6szv2ct0dundfehqd2vuq","13060728119","13060.728119"
"terra1tcw7nekjshpg5slzysm4calgvfmnwqsc4ys94z","13000000000","13000"
"terra12pg8hd2furl3ttl89rkycy23glzn802xw284fh","10000000000","10000"
"terra1669mfp26thc4ajtxcheypfdpx4yml848pa0wmv","10000000000","10000"
"terra1tegg7suflxy7g6nttccs8j0dmd4ke2fh856ah5","8750000000","8750"
"terra19clpxva75jfg8y9eucv2kxvhkxg6ayxdz52sy3","8347066234","8347.066234"
"terra1kk7gnu3yv6cykl5ssrxyr8vae8fwkzuu09za3g","7685314815","7685.314815"
"terra1nupfv5q37xka8the3rs0ll3efha25wkr6kh2uq","7681564140","7681.56414"
"terra19pe55ff5utwqfewy8k09se6um3qkjqjqasq9yk","7500000000","7500"
"terra1j8d8w7v57kf7j50yn9n00gt6a2nzh7x2vlnq53","7000000000","7000"
"terra1j4jnw7quz7xdknpm6yk3ql4a87dclazqncsyjp","6815824504","6815.824504"
"terra1we0gg5x6jzrd6agfjgx0y4wrkdtdpugltzqm3g","6330415232","6330.415232"
"terra1tktearhsddvc2xd3nq6lcw5e3lfmc265ncew5u","6000000000","6000"
"terra1f00hndd6kdrww09zr2knmmv5ve4g9tezllu0u7","5997132019","5997.132019"
"terra1vtl0q00ccpndmgprsvexusxz3mh3rl7x9hyrt8","5000000000","5000"
"terra1fxmtd9agel8r2ec7mun6jmgyplvgtprq9pytls","5000000000","5000"
"terra10308a4zdtm0ykw9zmqyf8v3vk52a4dnhxywlfs","5000000000","5000"
"terra1e6mq6nag30p32d726gqd47m78wleech7sjrv06","5000000000","5000"
"terra1rlcxv9ahzfne7543tyjcme9es666c6cwt5p49n","5000000000","5000"
"terra1pglvgkc7fha7fwlrlfumra9q87qxnkmsl4xuq0","4700000000","4700"
"terra1tvd8grhzkptnyf48smx5rtt0prkk9pzzerppxr","3796010827","3796.010827"
"terra1mpzuuykrxgpgjk42l6rgvxjsakcydnwcfj2r4l","3000000000","3000"
"terra1re9w5mf349nd2zmsy7mzx9uk7zkq0k8s0sr9v0","3000000000","3000"
"terra1m8mv4n3hjxptqawryqrwg8h4uj4prnmhejlxs4","2621414631","2621.414631"
"terra1x0zchd5g23nhxdhdxdfz9gd4t0decxhdywf7c5","2500000000","2500"
"terra1rtwypvje3v96m0hxcnhhetskvk30utl6u64f2d","2255597236","2255.597236"
"terra1xylk5rktc3yu449ay6ewehnsh9tdy2fer4ns9m","2137934529","2137.934529"
"terra14g3j3x67xwly6t7gddq730q0f5grlal8tj8778","2052194780","2052.19478"
"terra13akfmffgspkxhvqw6rz8vw5wmth4ayyjp0ce0p","1999000000","1999"
"terra1v9thdt6et5xgl9upxvglus4c0la0kzfuajfgnm","1300000000","1300"
"terra16z0gl94x376sqngwfv2phzuntep5wpedf9tud8","1250000000","1250"
"terra14ez54hn9h7acy742xu79vkkzys6jl8dp893ctg","1030000000","1030"
"terra13s54h7szhtz5ya2l6ly07kps00pq02m2wwkfly","1000000000","1000"
"terra13ru2tdm2pr5r6n32jw738a8m9lkwlcdw8axuv6","999899999","999.899999"
"terra1h9lkggh3amjvfweaquqzcjkwtdtscy9ekmy7ms","817939219","817.939219"
"terra16j49zhtxphunq6fvztp4lc2gs5w5v6uanv42l0","499950000","499.95"
"terra1pgu5zfrd5kae6ukxelxjutu2qc74luyykjenzn","400000000","400"
"terra1j0j8nfdk93srj3x3qhz5jj7sgqdmvdud6ezjy9","197597535","197.597535"
"terra175wwgtdgdjynynrakle6r6lpjnr8gvnnjvc5he","119324446","119.324446"
"terra12h4j2ugg23439jgkrq56wt4s5a98na9jjz3y50","114775209","114.775209"
"terra1scp34au7nph49jpdr4j64papez772xdv6ut9ht","100000000","100"
"terra1eggyvtszqz2dk4dmhjw74h2rly4gehpqmwf22d","100000000","100"
